Torque,Speed
5.93674e-06,300
5.84769e-06,300
5.75998e-06,300
5.67358e-06,300
5.58847e-06,300
5.50465e-06,300
5.42208e-06,300
5.34075e-06,300
5.26063e-06,300
5.18172e-06,300
5.104e-06,300
5.02744e-06,300
4.95203e-06,300
4.87775e-06,300
4.80458e-06,300
4.73251e-06,300
4.66152e-06,300
4.5916e-06,300
4.52273e-06,300
4.45489e-06,300
4.38806e-06,300
4.32224e-06,300
4.25741e-06,300
4.19355e-06,300
4.13064e-06,300
4.06868e-06,300
4.00765e-06,300
3.94754e-06,300
3.88833e-06,300
3.83e-06,300
3.77255e-06,300
3.71596e-06,300
3.66022e-06,300
3.60532e-06,300
3.55124e-06,300
3.49797e-06,300
3.4455e-06,300
3.39382e-06,300
3.34291e-06,300
3.29277e-06,300
3.24338e-06,300
